   FECHA            DNI          CODIGO            CANTIDAD
=================================================================
24/08/2023       50375303        JXD-139              6
03/09/2023       50375303        CRU-009              5
27/08/2023       22777006        YYK-309              3
28/08/2023       42157219        OTS-581              5
24/08/2023       13245501        AWB-345              1
04/09/2023       33397650        IHG-413              3
30/08/2023       97403853        KQQ-136              6
22/08/2023       78757121        OQI-373              3
03/09/2023       26290971        PVZ-181              3
26/08/2023       27912250        ICX-503              1
29/08/2023       98140264        DFF-034              2
29/08/2023       25171011        VCL-867              3
25/08/2023       57263719        TZY-323              6
27/08/2023       63437380        PJG-338              2
31/08/2023       35584593        SSD-176              4
05/09/2023       60574154        BWD-036              2
03/09/2023       73535476        FLJ-040              4
23/08/2023       31193794        JDC-028              1
31/08/2023       73185299        OTH-462              3
02/09/2023       86828079        QIL-029              5
28/08/2023       77484838        UWA-476              1
05/09/2023       13245501        XOA-735              5
02/09/2023       79901434        OBI-353              6
03/09/2023       16552775        AWB-345              6
21/08/2023       57690875        CSZ-863              5
03/09/2023       73535476        UWA-476              5
27/08/2023       87813843        MLE-193              4
03/09/2023       95751208        UOD-420              4
25/08/2023       87800799        KWP-672              2
02/09/2023       20864087        BXY-119              4
05/09/2023       46462527        KCO-488              4
22/08/2023       71984468        PQH-935              2
03/09/2023       15561764        GBJ-693              2
22/08/2023       43488351        XLF-273              5
22/08/2023       15210391        RSE-049              5
28/08/2023       79464412        CJE-310              5
28/08/2023       76388967        SJQ-827              5
23/08/2023       89148118        TKM-141              6
29/08/2023       76388967        EBI-299              5
27/08/2023       79140840        DFF-034              3
02/09/2023       37110873        SSD-176              1
03/09/2023       43043986        ZEX-027              1
27/08/2023       73914283        OBI-353              1
02/09/2023       41036366        SJD-818              4
01/09/2023       28390487        GLC-370              2
31/08/2023       45783712        YUQ-590              2
23/08/2023       29337157        QHC-492              6
25/08/2023       35565959        CIM-038              4
03/09/2023       96258632        CRU-009              2
24/08/2023       12663268        AHB-459              3
26/08/2023       86828079        MQR-442              3
29/08/2023       16552775        CNN-411              5
30/08/2023       50365593        AFL-718              5
21/08/2023       11602775        CIM-038              4
22/08/2023       78078115        XZR-640              5
31/08/2023       62324793        LDR-510              1
31/08/2023       37110873        QUU-384              4
24/08/2023       36380447        OWN-701              5
22/08/2023       77484838        BTO-226              4
02/09/2023       98140264        BRD-969              1
21/08/2023       29337157        ZEX-027              3
01/09/2023       84165595        DFJ-952              1
02/09/2023       84165595        RDT-761              6
24/08/2023       88956889        TMN-884              1
24/08/2023       59162728        FEG-454              4
02/09/2023       50365593        JDC-028              6
04/09/2023       69324480        JCW-489              5
29/08/2023       46462527        KWP-672              3
21/08/2023       49087435        VDD-853              2
03/09/2023       79901434        ZEX-027              2
24/08/2023       33713901        ZVA-180              6
04/09/2023       50375303        KQA-580              5
25/08/2023       77642521        QUU-384              5
28/08/2023       78922174        TKM-141              5
28/08/2023       94080926        NMV-644              5
05/09/2023       93845419        CIM-038              5
21/08/2023       62566305        TYF-885              4
24/08/2023       86402303        OQI-373              3
25/08/2023       79901434        AHB-459              3
04/09/2023       32565207        IDO-503              6
26/08/2023       49087435        BCK-361              3
30/08/2023       83505958        TYF-885              5
22/08/2023       25171011        OPT-996              6
21/08/2023       45877001        VVS-017              4
25/08/2023       67418025        QUU-384              1
27/08/2023       43053402        YOT-530              2
27/08/2023       52097922        ISU-815              5
04/09/2023       63437380        III-576              5
01/09/2023       50365593        LWG-915              3
28/08/2023       57263719        BWD-036              3
26/08/2023       78922174        AFL-718              5
30/08/2023       63437380        AWB-345              4
03/09/2023       12663268        YYU-726              4
26/08/2023       11602775        JJN-837              1
28/08/2023       17972674        ZWF-661              1
21/08/2023       83505958        EJW-346              3
26/08/2023       79475585        BWD-036              5
26/08/2023       17972674        UWA-476              4
28/08/2023       89148118        XLF-273              5
27/08/2023       32565207        UXG-019              4
29/08/2023       79464412        NSM-283              2
22/08/2023       95161027        VJI-529              2
25/08/2023       79140840        TYF-885              2
27/08/2023       37110873        YZD-580              5
25/08/2023       11602775        XLF-273              4
02/09/2023       15210391        TZY-323              3
22/08/2023       27912250        LWG-915              4
04/09/2023       91897732        TMN-884              2
21/08/2023       98140264        QHC-492              4
01/09/2023       83236386        UJV-290              5
29/08/2023       52097922        OWN-701              2
21/08/2023       40348917        WZD-331              3
26/08/2023       71378466        BIT-434              4
31/08/2023       71463316        AWT-354              4
02/09/2023       95161027        III-576              5
29/08/2023       71463316        KCO-488              5
24/08/2023       24995742        KCO-488              4
02/09/2023       20864087        JFC-432              1
04/09/2023       31611146        YOT-530              4
04/09/2023       85949265        JFC-432              4
29/08/2023       77642521        DFJ-952              5
29/08/2023       53166028        QHC-492              1
23/08/2023       90237332        PFD-286              4
26/08/2023       83505958        MQR-442              1
22/08/2023       15561764        JYQ-045              6
02/09/2023       50375303        AFL-718              1
26/08/2023       77484838        AFL-718              1
24/08/2023       97403853        BCK-361              5
27/08/2023       12663268        XSD-310              6
30/08/2023       19829266        TXM-139              3
05/09/2023       63437380        KQA-580              2
04/09/2023       12663268        RAH-420              3
23/08/2023       89298238        PFD-286              2
28/08/2023       42928709        NSM-283              5
29/08/2023       45877001        PJG-338              2
02/09/2023       42928709        OQI-373              5
30/08/2023       32821689        ONB-903              3
03/09/2023       71378466        FVQ-662              2
27/08/2023       11602775        YYK-309              3
29/08/2023       77484838        UDR-957              3
27/08/2023       15561764        FYF-898              2
28/08/2023       57690875        CIM-038              3
05/09/2023       54716824        SPR-580              3
26/08/2023       95161027        VVS-017              5
21/08/2023       90365520        KWP-672              6
01/09/2023       73185299        QHC-492              3
21/08/2023       45783712        QFR-958              3
21/08/2023       49087435        SJQ-827              1
26/08/2023       54761731        DEV-433              3
02/09/2023       43053402        MMA-577              6
22/08/2023       78757121        ZXK-295              4
01/09/2023       13245501        VXS-438              3
31/08/2023       46462527        LWG-915              6
04/09/2023       88956889        YUQ-590              2
23/08/2023       55552996        AQS-362              1
22/08/2023       76388967        RSE-049              6
27/08/2023       60574154        III-576              6
05/09/2023       55552996        UXG-019              6
31/08/2023       87800799        VRR-793              2
02/09/2023       78922174        EJW-346              6
28/08/2023       80048864        BCK-361              3
31/08/2023       25171011        AWB-345              6
31/08/2023       22777006        FCN-617              1
05/09/2023       42798099        AQS-362              1
31/08/2023       90237332        QFP-254              3
25/08/2023       62566305        DIQ-718              4
28/08/2023       59407188        BIT-434              6
01/09/2023       42798099        TMN-884              5
24/08/2023       79901434        OXP-732              2
25/08/2023       40348917        SNY-500              4
27/08/2023       73185299        QUU-384              3
25/08/2023       83236386        MTF-868              2
21/08/2023       89429489        VXS-438              1
03/09/2023       26976877        VTV-269              4
21/08/2023       17913944        IHG-413              4
27/08/2023       43877279        SNY-500              4
22/08/2023       37110873        GXF-122              2
04/09/2023       38913831        BCN-855              3
04/09/2023       44229880        JXD-139              4
28/08/2023       32565207        FVQ-662              5
01/09/2023       32904023        DUG-251              4
26/08/2023       45828535        QJO-060              6
28/08/2023       24995742        YMU-875              3
21/08/2023       81114108        VRR-793              4
24/08/2023       26290971        TYF-885              3
01/09/2023       96659352        ADX-669              4
02/09/2023       98140264        CJE-310              3
24/08/2023       26976877        AFL-718              5
29/08/2023       71463316        EBI-299              6
01/09/2023       89148118        AFL-718              1
26/08/2023       83236386        OPT-996              2
21/08/2023       90237332        PVZ-181              5
22/08/2023       16151792        WZD-331              3
05/09/2023       80048864        RDT-761              5
02/09/2023       94080926        TXM-139              5
27/08/2023       40112594        KSO-608              6
22/08/2023       73535476        CIM-038              3
21/08/2023       40348917        FLJ-040              2
29/08/2023       88956889        HFM-021              6
27/08/2023       41036366        AQS-362              2
05/09/2023       43877279        TYF-885              5
03/09/2023       42798099        OQI-373              2
01/09/2023       77191257        QVJ-982              5
05/09/2023       98589725        VRR-793              1
27/08/2023       25171011        CIM-038              1
02/09/2023       20864087        JDQ-505              6
26/08/2023       42157219        III-576              6
24/08/2023       79464412        JXD-139              4
24/08/2023       25171011        QRC-609              3
22/08/2023       89298238        QTK-083              3
23/08/2023       81114108        BCN-855              4
28/08/2023       89298238        QFP-254              2
02/09/2023       66409237        DFF-034              4
25/08/2023       52097922        GBD-525              5
24/08/2023       89148118        JFC-432              5
26/08/2023       38637282        FLJ-040              6
03/09/2023       23928045        TMN-884              2
28/08/2023       44679500        AWB-345              1
25/08/2023       16151792        CNQ-172              1
21/08/2023       37110873        UWA-476              2
31/08/2023       48467976        JDQ-505              5
05/09/2023       22280452        XSD-310              2
29/08/2023       29847168        BCK-361              1
31/08/2023       45828535        XSD-310              4
28/08/2023       35584593        AVM-258              4
30/08/2023       96258632        QHC-492              2
29/08/2023       55552996        SJD-818              1
21/08/2023       55552996        FQG-293              1
28/08/2023       85871751        MYC-756              2
28/08/2023       43043986        QFP-254              5
24/08/2023       45828535        AVM-258              2
28/08/2023       71463316        UWA-476              3
28/08/2023       71378466        ARS-231              6
28/08/2023       79475585        KQQ-136              6
02/09/2023       66409237        AWT-354              6
30/08/2023       69975105        WZD-331              6
04/09/2023       42928709        XLF-273              4
04/09/2023       88956889        UWA-476              3
25/08/2023       32821689        MMA-577              5
21/08/2023       85949265        TMJ-043              6
22/08/2023       78078115        DFF-034              2
28/08/2023       32904023        KJX-387              3
31/08/2023       90365520        KBY-991              6
01/09/2023       91897732        XZR-640              5
27/08/2023       96659352        KQA-580              6
25/08/2023       26976877        JXD-139              2
28/08/2023       42157219        KCO-488              2
03/09/2023       69324480        UOD-420              3
04/09/2023       66409237        BRD-969              3
21/08/2023       71463316        QFP-254              6
23/08/2023       22280452        VRR-793              5
27/08/2023       79140840        HLR-109              1
25/08/2023       73535476        LDR-510              2
01/09/2023       93160528        YYU-726              1
03/09/2023       59407188        OWN-701              1
21/08/2023       26233063        ZAF-449              2
24/08/2023       46462527        ISU-815              6
29/08/2023       87800799        WZD-331              2
27/08/2023       90237332        OQI-373              1
28/08/2023       71463316        BCN-855              4
04/09/2023       42928709        QFP-254              5
01/09/2023       89298238        UJV-290              4
28/08/2023       66409237        UXG-019              4
27/08/2023       89863424        SSE-115              4
23/08/2023       69324480        VXS-438              3
23/08/2023       79464412        MTF-868              6
28/08/2023       23928045        OXP-732              3
21/08/2023       90365520        OPJ-039              1
26/08/2023       59407188        RDT-761              5
01/09/2023       43488351        DIQ-718              6
22/08/2023       77484838        YUQ-590              6
30/08/2023       79140840        OTH-462              1
24/08/2023       95015539        CSZ-863              2
26/08/2023       78757121        GXF-122              1
26/08/2023       90365520        EUZ-452              6
21/08/2023       69639726        OPT-996              3
02/09/2023       88956889        MYC-756              4
30/08/2023       87800799        GBD-525              6
02/09/2023       24995742        DON-719              3
29/08/2023       43053402        VRR-793              2
25/08/2023       96258632        EBI-299              5
02/09/2023       88956889        UWA-476              6
23/08/2023       93160528        BRD-969              5
26/08/2023       13245501        HFC-845              6
04/09/2023       26233063        UWA-476              1
02/09/2023       32904023        QFP-254              4
01/09/2023       78078115        FQG-293              4
29/08/2023       16151792        AQS-362              1
23/08/2023       43488351        QTK-083              6
02/09/2023       89298238        YOT-530              4
23/08/2023       93160528        QTK-083              3
24/08/2023       11602775        JJN-837              2
02/09/2023       79372768        GLC-370              4
01/09/2023       43043986        SSD-176              5
30/08/2023       62566305        GXF-122              5
02/09/2023       32821689        MTF-868              5
04/09/2023       35565959        QRC-609              5
21/08/2023       49087435        PJG-338              1
03/09/2023       57263719        OTH-462              5
25/08/2023       62324793        YJD-279              5
02/09/2023       59407188        LYZ-614              3
23/08/2023       76388967        CNQ-172              6
25/08/2023       13245501        ZWF-661              1
21/08/2023       79140840        TMN-884              5
04/09/2023       50375303        YJD-279              5
30/08/2023       42928709        QIL-029              4
02/09/2023       55552996        QTK-083              1
27/08/2023       86828079        YGV-332              1
26/08/2023       78757121        ARS-231              4
03/09/2023       37110873        FCN-617              6
02/09/2023       50365593        TMN-884              6
25/08/2023       87800799        ICX-503              2
29/08/2023       81114108        RBE-789              2
31/08/2023       54716824        UDR-957              1
27/08/2023       78757121        KJX-387              4
28/08/2023       26233063        KSO-608              3
28/08/2023       86241107        CIM-038              2
23/08/2023       89298238        YOT-530              1
26/08/2023       24995742        BWD-036              1
24/08/2023       15210391        OTW-288              3
23/08/2023       89429489        QUU-384              1
